PlateNumb,OperatorCode,VehicleType,HasLiftOrRamp,UpdateTime
258-U7,,0,False,2019-01-18T16:38:45+08:00
842-XH,,0,False,2019-01-18T16:38:45+08:00
518-FY,,0,False,2019-01-18T16:38:45+08:00
065-FL,,0,False,2019-01-18T16:38:45+08:00
860-FX,,0,False,2019-01-18T16:38:45+08:00
XB-007,,0,False,2019-01-18T16:38:45+08:00
191-FZ,,0,False,2019-01-18T16:38:45+08:00
507-U5,,0,False,2019-01-18T16:38:45+08:00
631-U9,,0,False,2019-01-18T16:38:45+08:00
843-FW,,0,False,2019-01-18T16:38:45+08:00
017-FZ,,0,False,2019-01-18T16:38:45+08:00
357-FN,,0,False,2019-01-18T16:38:45+08:00
181-FB,,0,False,2019-01-18T16:38:45+08:00
707-FW,,0,False,2019-01-18T16:38:45+08:00
FAD-560,,0,False,2019-01-18T16:38:45+08:00
817-FY,,0,False,2019-01-18T16:38:45+08:00
115-FL,,0,False,2019-01-18T16:38:45+08:00
048-FM,,0,False,2019-01-18T16:38:45+08:00
590-FG,,0,False,2019-01-18T16:38:45+08:00
932-FM,,0,False,2019-01-18T16:38:45+08:00
563-V2,,0,False,2019-01-18T16:38:45+08:00
693-FD,,0,False,2019-01-18T16:38:45+08:00
KKA-1185,,0,False,2019-01-18T16:38:45+08:00
873-FL,,0,False,2019-01-18T16:38:45+08:00
209-U9,,0,False,2019-01-18T16:38:45+08:00
952-FW,,0,False,2019-01-18T16:38:45+08:00
995-FM,,0,False,2019-01-18T16:38:45+08:00
800-FU,,0,False,2019-01-18T16:38:45+08:00
FAD-207,,0,False,2019-01-18T16:38:45+08:00
152-FB,,0,False,2019-01-18T16:38:45+08:00
857-FY,,0,False,2019-01-18T16:38:45+08:00
663-FG,,0,False,2019-01-18T16:38:45+08:00
AG-400,,0,False,2019-01-18T16:38:45+08:00
477-FY,,0,False,2019-01-18T16:38:45+08:00
849-FP,,0,False,2019-01-18T16:38:45+08:00
055-FL,,0,False,2019-01-18T16:38:45+08:00
677-U7,,0,False,2019-01-18T16:38:45+08:00
KKA-1312,,0,False,2019-01-18T16:38:45+08:00
218-U9,,0,False,2019-01-18T16:38:45+08:00
996-FS,,0,False,2019-01-18T16:38:45+08:00
532-FN,,0,False,2019-01-18T16:38:45+08:00
952-AB,,0,False,2019-01-18T16:38:45+08:00
529-FX,,0,False,2019-01-18T16:38:45+08:00
838-FS,,0,False,2019-01-18T16:38:45+08:00
515-U6,,0,False,2019-01-18T16:38:45+08:00
202-FW,,0,False,2019-01-18T16:38:45+08:00
615-FY,,0,False,2019-01-18T16:38:45+08:00
532-FG,,0,False,2019-01-18T16:38:45+08:00
578-U9,,0,False,2019-01-18T16:38:45+08:00
479-FU,,0,False,2019-01-18T16:38:45+08:00
182-FU,,0,False,2019-01-18T16:38:45+08:00
FAB-331,,0,False,2019-01-18T16:38:45+08:00
481-FZ,,0,False,2019-01-18T16:38:45+08:00
176-FL,,0,False,2019-01-18T16:38:45+08:00
745-XH,,0,False,2019-01-18T16:38:45+08:00
978-FZ,,0,False,2019-01-18T16:38:45+08:00
346-FN,,0,False,2019-01-18T16:38:45+08:00
972-FX,,0,False,2019-01-18T16:38:45+08:00
122-FL,,0,False,2019-01-18T16:38:45+08:00
KKA-0008,,0,False,2019-01-18T16:38:45+08:00
KKA-1118,,0,False,2019-01-18T16:38:45+08:00
711-U5,,0,False,2019-01-18T16:38:45+08:00
