RouteUID,RouteID,RouteName
KHH83,83,83
KHH81,81,81
KHH8103,8103,紅10區間車
KHH8075,8075,8049區間車
KHH810,810,紅10
KHH8100,8100,紅1(延駛中鋼)
KHH81,81,81
KHH83,83,83
KHH8103,8103,紅10區間車
KHH8012,8012,8012
KHH8021,8021,8021
KHH8100,8100,紅1(延駛中鋼)
KHH812,812,紅12A
KHH8200,8200,紅1區間車
KHH82,82,82
KHH85,85,JOY H21
KHH8012,8012,8012
KHH827,827,紅27
KHH8021,8021,8021
KHH812,812,紅12A
KHH821,821,紅21
KHH85,85,JOY H21
KHH82,82,82
KHH8200,8200,紅1區間車
KHH827,827,紅27
KHH821,821,紅21
KHH8026,8026,8026
KHH8035,8035,8035(部分繞駛實踐大學)
KHH830,830,紅30
KHH832,832,紅32
KHH833,833,紅33明誠幹線
KHH8361,8361,紅36裕誠幹線(17時以後改道文信路)
KHH8531,8531,紅53梓官幹線-主
KHH830,830,紅30
KHH8026,8026,8026
KHH832,832,紅32
KHH8035,8035,8035(部分繞駛實踐大學)
KHH836,836,紅36裕誠幹線
KHH833,833,紅33明誠幹線
KHH8531,8531,紅53梓官幹線-主
KHH8361,8361,紅36裕誠幹線(17時以後改道文信路)
KHH836,836,紅36裕誠幹線
KHH8503,8503,8503
KHH8501,8501,8501(部分繞駛義守大學)
KHH8041,8041,8041C(部分繞駛樹人醫專)
KHH8049,8049,8049
KHH8504,8504,8504
KHH8506,8506,8506
KHH858,858,紅58A
KHH8049,8049,8049
KHH8505,8505,8505
KHH8503,8503,8503
KHH8041,8041,8041C(部分繞駛樹人醫專)
KHH8504,8504,8504
KHH858,858,紅58A
KHH8501,8501,8501(部分繞駛義守大學)
KHH8506,8506,8506
KHH8505,8505,8505
KHH856,856,紅56A
KHH8073,8073,8046B(部分繞駛樹人醫專)
KHH8561,8561,紅56B(繞駛德民黃昏市場)
KHH8063,8063,8023區間車
KHH865,865,紅65
KHH8532,8532,紅53梓官幹線-區間
KHH857,857,紅57
KHH8561,8561,紅56B(繞駛德民黃昏市場)
KHH856,856,紅56A
KHH8073,8073,8046B(部分繞駛樹人醫專)
KHH8562,8562,紅56C(寒暑假停駛)
KHH8532,8532,紅53梓官幹線-區間
KHH865,865,紅65
KHH857,857,紅57
KHH8063,8063,8023區間車
KHH8562,8562,紅56C(寒暑假停駛)
KHH86,86,JOY H22
KHH860,860,紅60A
KHH811,811,紅11A
KHH8581,8581,紅58B
KHH871,871,紅71A
KHH861,861,紅61
KHH86,86,JOY H22
KHH8077,8077,8017區間車
KHH8601,8601,紅60B
KHH860,860,紅60A
KHH8581,8581,紅58B
KHH871,871,紅71A
KHH811,811,紅11A
KHH861,861,紅61
KHH8601,8601,紅60B
KHH8077,8077,8017區間車
KHH868,868,紅68A
KHH8681,8681,紅68B(部分繞駛嘉興國中)
KHH867,867,紅67A(部分延駛中正堂)
KHH876,876,紅76
KHH869,869,紅69
KHH868,868,紅68A
KHH829,829,紅29
KHH8682,8682,紅68A(延駛大莊里)
KHH8121,8121,紅12B
KHH8681,8681,紅68B(部分繞駛嘉興國中)
KHH867,867,紅67A(部分延駛中正堂)
KHH876,876,紅76
KHH869,869,紅69
KHH829,829,紅29
KHH8682,8682,紅68A(延駛大莊里)
KHH8121,8121,紅12B
KHH8713,8713,紅71C
KHH8714,8714,紅71D
KHH911,911,橘11A
KHH8713,8713,紅71C
KHH8711,8711,紅71B1
KHH8733,8733,紅73C
KHH839,839,83區間車
KHH872,872,紅72(部分繞駛南訓中心)
KHH8714,8714,紅71D
KHH831,831,紅31
KHH911,911,橘11A
KHH8711,8711,紅71B1
KHH8733,8733,紅73C
KHH872,872,紅72(部分繞駛南訓中心)
KHH839,839,83區間車
KHH90,90,90民族幹線
KHH831,831,紅31
KHH901,901,橘1A
KHH901,901,橘1A
KHH90,90,90民族幹線
KHH878,878,紅78
KHH92,92,92自由幹線
KHH9011,9011,橘1B(平日停駛)
KHH9012,9012,橘1C(延駛中山大學文學院)
KHH852,852,紅52
KHH8502,8502,8502
KHH878,878,紅78
KHH9011,9011,橘1B(平日停駛)
KHH9012,9012,橘1C(延駛中山大學文學院)
KHH9121,9121,橘12區間車(寒暑假停駛)
KHH92,92,92自由幹線
KHH912,912,橘12(白天延駛澄清湖)
KHH852,852,紅52
KHH8502,8502,8502
KHH9121,9121,橘12區間車(寒暑假停駛)
KHH9111,9111,橘11B
KHH912,912,橘12(白天延駛澄清湖)
KHH916,916,橘16
KHH96,96,96
KHH8571,8571,紅57區間車
KHH9161,9161,橘16延駛大社(假日停駛)
KHH8533,8533,紅53梓官幹線-副
KHH8571,8571,紅57區間車
KHH916,916,橘16
KHH9111,9111,橘11B
KHH9161,9161,橘16延駛大社(假日停駛)
KHH96,96,96
KHH9203,9203,橘20D(假日停駛)
KHH9202,9202,橘20C
KHH8533,8533,紅53梓官幹線-副
KHH9203,9203,橘20D(假日停駛)
KHH9202,9202,橘20C
KHH920,920,橘20A
KHH9204,9204,橘20D(延駛和發產業園區)
KHH862,862,紅62
KHH9205,9205,橘20B(繞駛輔英科大)
KHH8582,8582,紅58C(寒暑假停駛)
KHH9204,9204,橘20D(延駛和發產業園區)
KHH862,862,紅62
KHH920,920,橘20A
KHH9205,9205,橘20B(繞駛輔英科大)
KHH9702,9702,橘7B(不延駛佛光山)
KHH98,98,98
KHH8582,8582,紅58C(寒暑假停駛)
KHH98,98,98
KHH9702,9702,橘7B(不延駛佛光山)
KHH99,99,99
KHH97,97,97
KHH87,87,87
KHH8671,8671,紅67B
KHH97,97,97
KHH99,99,99
KHH8671,8671,紅67B
KHH87,87,87
KHH8712,8712,紅71B2
KHH875,875,紅75
KHH8712,8712,紅71B2
KHH875,875,紅75
KHH879,879,紅79
KHH908,908,橘8
KHH879,879,紅79
KHH908,908,橘8
KHH9112,9112,橘11A區間車
KHH917,917,橘17
KHH9112,9112,橘11A區間車
KHH917,917,橘17
KHH9201,9201,橘20B
KHH9206,9206,橘20C(直達車)
KHH9201,9201,橘20B
KHH9206,9206,橘20C(直達車)
KHH9701,9701,橘7B(假日停駛)
KHH9701,9701,橘7B(假日停駛)
KHH15202,15202,T517B(112/7/1行駛)
KHH15202,15202,T517B(112/7/1行駛)
KHH15219,15219,T601(112/7/1行駛)(每週一、三發車)
KHH15219,15219,T601(112/7/1行駛)(每週一、三發車)
KHH15221,15221,T603D(112/7/1行駛)
KHH15218,15218,T518B(112/7/1行駛)
KHH15221,15221,T603D(112/7/1行駛)
KHH15218,15218,T518B(112/7/1行駛)
KHH15220,15220,T602(102/7/1行駛)
KHH15220,15220,T602(102/7/1行駛)
