CCTVID,AuthorityCode,OriginalVersion,OrginalLinkID,ChangeType,ChangeReason,ChangeAttribute,LinkID,Links
CCTV-T64-W-4.38-M,NFB,20.07.1,1006400100400F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400100400F'],"[{'LinkID': '1006400100400F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T76-E-28.24-M,NFB,20.07.1,1007600002750N,道路異動,數化精進,"EndNode,Length",['1007600002750N'],"[{'LinkID': '1007600002750N', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T76-E-28.64-M,NFB,20.07.1,1007600002800N,道路異動,數化精進,"StartNode,EndNode,Length",['1007600002800N'],"[{'LinkID': '1007600002800N', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T76-E-27.84-M,NFB,20.07.1,1007600002750N,道路異動,數化精進,"EndNode,Length",['1007600002750N'],"[{'LinkID': '1007600002750N', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T76-W-30.84-M,NFB,20.07.1,1007600103020M,道路異動,數化精進,"StartNode,EndNode,Length",['1007600103020M'],"[{'LinkID': '1007600103020M', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'SW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T64-W-3.7-M,NFB,20.07.1,1006400100400F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400100400F'],"[{'LinkID': '1006400100400F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T76-E-30.44-M,NFB,20.07.1,1007600003020M,道路異動,數化精進,"StartNode,EndNode,Length",['1007600003020M'],"[{'LinkID': '1007600003020M', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'NE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T64-E-3.71-M,NFB,20.07.1,1006400000300F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400000300F'],"[{'LinkID': '1006400000300F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-N5-S-53.92-M,NFB,20.07.1,0000501107030G,道路異動,路型改變,"Bearing,StartNode,Length",['0000501107030G'],"[{'LinkID': '0000501107030G', 'RoadID': '000050', 'RoadName': '國道5號', 'RoadClass': 0, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T62-E-18.13-M,NFB,20.07.1,1006200001800F,道路異動,數化精進,"StartNode,Length",['1006200001800F'],"[{'LinkID': '1006200001800F', 'RoadID': '100620', 'RoadName': '台62線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T62-W-18.16-M,NFB,20.07.1,1006200101800F,道路異動,數化精進,"EndNode,Length",['1006200101800F'],"[{'LinkID': '1006200101800F', 'RoadID': '100620', 'RoadName': '台62線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T64-W-4.73-M,NFB,20.07.1,1006400100500F,道路異動,數化精進,"EndNode,Length",['1006400100500F'],"[{'LinkID': '1006400100500F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T76-E-30.84-M,NFB,20.07.1,1007600003020M,道路異動,數化精進,"StartNode,EndNode,Length",['1007600003020M'],"[{'LinkID': '1007600003020M', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'NE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T64-W-4.21-M,NFB,20.07.1,1006400100400F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400100400F'],"[{'LinkID': '1006400100400F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T62-W-17.81-M,NFB,20.07.1,1006200101740F,道路異動,數化精進,"StartNode,Length",['1006200101740F'],"[{'LinkID': '1006200101740F', 'RoadID': '100620', 'RoadName': '台62線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
