StationGroupUID,StationGroupID,StationGroupName,StationGroupPosition,UpdateTime,VersionID
YUN652－041,652－041,{'Zh_tw': '海埔活動中心'},"{'PositionLon': 120.249578, 'PositionLat': 23.560509, 'GeoHash': 'wsjw0351f'}",2023-07-13T07:38:39+08:00,1790
YUN652－042,652－042,{'Zh_tw': '顏厝寮'},"{'PositionLon': 120.255976, 'PositionLat': 23.570896, 'GeoHash': 'wsjw06zwr'}",2023-07-13T07:38:39+08:00,1790
YUN652－043,652－043,{'Zh_tw': '王厝寮'},"{'PositionLon': 120.259966, 'PositionLat': 23.569919, 'GeoHash': 'wsjw0df8s'}",2023-07-13T07:38:39+08:00,1790
YUN652－044,652－044,{'Zh_tw': '土間厝'},"{'PositionLon': 120.267307, 'PositionLat': 23.568855, 'GeoHash': 'wsjw0dxfx'}",2023-07-13T07:38:39+08:00,1790
YUN653－033,653－033,{'Zh_tw': '口湖遊客中心'},"{'PositionLon': 120.182235, 'PositionLat': 23.54834, 'GeoHash': 'wsjmyyf51'}",2023-07-13T07:38:39+08:00,1790
YUN654－045,654－045,{'Zh_tw': '三條崙海清宮'},"{'PositionLon': 120.153542, 'PositionLat': 23.655836, 'GeoHash': 'wsjqw4mjh'}",2023-07-13T07:38:39+08:00,1790
YUN655－001,655－001,{'Zh_tw': '元長1'},"{'PositionLon': 120.313285, 'PositionLat': 23.647595, 'GeoHash': 'wsjw9bcmn'}",2023-07-13T07:38:39+08:00,1790
YUN655－004,655－004,{'Zh_tw': '鹿寮'},"{'PositionLon': 120.370327, 'PositionLat': 23.639693, 'GeoHash': 'wsjw7p6zp'}",2023-07-13T07:38:39+08:00,1790
YUN655－005,655－005,{'Zh_tw': '卓運厝'},"{'PositionLon': 120.3504305, 'PositionLat': 23.6432905, 'GeoHash': 'wsjwd8hs0'}",2023-07-13T07:38:39+08:00,1790
YUN655－006,655－006,{'Zh_tw': '客子厝'},"{'PositionLon': 120.3353245, 'PositionLat': 23.6283755, 'GeoHash': 'wsjw6m3t2'}",2023-07-13T07:38:39+08:00,1790
YUN655－007,655－007,{'Zh_tw': '湖子內'},"{'PositionLon': 120.3327555, 'PositionLat': 23.608797, 'GeoHash': 'wsjw61zeh'}",2023-07-13T07:38:39+08:00,1790
YUN655－008,655－008,{'Zh_tw': '鹿北'},"{'PositionLon': 120.377592, 'PositionLat': 23.6479175, 'GeoHash': 'wsjwe2br1'}",2023-07-13T07:38:39+08:00,1790
YUN655－009,655－009,{'Zh_tw': '瓦瑤'},"{'PositionLon': 120.3588085, 'PositionLat': 23.640221, 'GeoHash': 'wsjw6zdd7'}",2023-07-13T07:38:39+08:00,1790
YUN655－010,655－010,{'Zh_tw': '東庄'},"{'PositionLon': 120.3341785, 'PositionLat': 23.6180265, 'GeoHash': 'wsjw6788v'}",2023-07-13T07:38:39+08:00,1790
YUN655－011,655－011,{'Zh_tw': '山內國小'},"{'PositionLon': 120.31315, 'PositionLat': 23.678477, 'GeoHash': 'wsjw9y935'}",2023-07-13T07:38:39+08:00,1790
YUN655－012,655－012,{'Zh_tw': '元長'},"{'PositionLon': 120.313327, 'PositionLat': 23.651365, 'GeoHash': 'wsjw9c97p'}",2023-07-13T07:38:39+08:00,1790
