CCTVID,AuthorityCode,OriginalVersion,OrginalLinkID,ChangeType,ChangeReason,ChangeAttribute,LinkID,Links
CCTV-17-0620-018-01,THB,20.07.1,1006200001800F,道路異動,數化精進,"StartNode,Length",['1006200001800F'],"[{'LinkID': '1006200001800F', 'RoadID': '100620', 'RoadName': '台62線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-004-06,THB,20.07.1,1006400000400F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400000400F'],"[{'LinkID': '1006400000400F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-11-002D-011-04,THB,20.07.1,3000240001164F,道路異動,精化精進,Length,['3000240001164F'],"[{'LinkID': '3000240001164F', 'RoadID': '300024', 'RoadName': '台2丁線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'NE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-004-08,THB,20.07.1,1006400000400F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400000400F'],"[{'LinkID': '1006400000400F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-003-10,THB,20.07.1,1006400100300F,道路異動,數化精進,"StartNode,Length",['1006400100300F'],"[{'LinkID': '1006400100300F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-004-05,THB,20.07.1,1006400000400F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400000400F'],"[{'LinkID': '1006400000400F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-17-0620-017-07,THB,20.07.1,1006200101740F,道路異動,數化精進,"StartNode,Length",['1006200101740F'],"[{'LinkID': '1006200101740F', 'RoadID': '100620', 'RoadName': '台62線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-17-062A-000-08,THB,20.07.1,1006210100000C,道路新增,修改路名/道路結構改變,,['1006211101000C'],"[{'LinkID': '1006211101000C', 'RoadID': '100621', 'RoadName': '台62甲線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0640-004-13,THB,20.07.1,1006400100400F,道路異動,數化精進,"StartNode,EndNode,Length",['1006400100400F'],"[{'LinkID': '1006400100400F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-22-0610-136-01,THB,20.07.1,1006100113700B,道路刪除,道路分段,,['1006100113700B'],"[{'LinkID': '1006100113700B', 'RoadID': '100610', 'RoadName': '台61線', 'RoadClass': 1, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-12-0030-019-01,THB,20.10.2,3000300001862F,道路異動,錯誤修正,"EndMile,MileLength",['3000300001862F'],"[{'LinkID': '3000300001862F', 'RoadID': '300030', 'RoadName': '台3線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-11-0050-011-01,THB,20.10.2,3000500101174F,道路異動,錯誤修正,"StartMile,MileLength",['3000500101174F'],"[{'LinkID': '3000500101174F', 'RoadID': '300050', 'RoadName': '台5線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'SW', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-13-0040-014-01,THB,20.10.2,3000400101450H,道路新增,錯誤修正,,['3000400101451H'],"[{'LinkID': '3000400101451H', 'RoadID': '300040', 'RoadName': '台4線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'E', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-11-0020-003-02,THB,20.10.2,3000200000353F,道路新增,錯誤修正,,['3000200000340F'],"[{'LinkID': '3000200000340F', 'RoadID': '300020', 'RoadName': '台2線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'NW', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-11-0020-003-03,THB,20.10.2,3000200000353F,道路新增,錯誤修正,,['3000200000340F'],"[{'LinkID': '3000200000340F', 'RoadID': '300020', 'RoadName': '台2線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'NW', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-25-008A-022-01,THB,20.10.2,3000800102181B,道路新增,修改路名,,['30008A0106047B'],"[{'LinkID': '30008A0106047B', 'RoadID': '30008A', 'RoadName': '台8線臨37便道', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-25-008A-008-01,THB,20.10.2,3000800100785B,道路新增,修改路名,,['30008A0104647B'],"[{'LinkID': '30008A0104647B', 'RoadID': '30008A', 'RoadName': '台8線臨37便道', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'SW', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-25-008A-013-01,THB,20.10.2,3000800101269B,道路新增,修改路名,,['30008A0105147B'],"[{'LinkID': '30008A0105147B', 'RoadID': '30008A', 'RoadName': '台8線臨37便道', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-25-008A-007-01,THB,20.10.2,3000800100686B,道路新增,修改路名,,['30008A0104547B'],"[{'LinkID': '30008A0104547B', 'RoadID': '30008A', 'RoadName': '台8線臨37便道', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-25-008A-012-01,THB,20.10.2,3000800000686B,道路新增,修改路名,,['30008A0004547B'],"[{'LinkID': '30008A0004547B', 'RoadID': '30008A', 'RoadName': '台8線臨37便道', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-25-008A-009-01,THB,20.10.2,3000800000589B,道路新增,修改路名,,['30008A0004447B'],"[{'LinkID': '30008A0004447B', 'RoadID': '30008A', 'RoadName': '台8線臨37便道', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-25-007A-046-01,THB,20.10.2,3000710104573B,道路新增,錯誤修正,,['3000710104572B'],"[{'LinkID': '3000710104572B', 'RoadID': '300071', 'RoadName': '台7甲線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CCTV-25-008A-023-01,THB,20.10.2,3000800002355B,道路新增,修改路名,,['30008A0006222B'],"[{'LinkID': '30008A0006222B', 'RoadID': '30008A', 'RoadName': '台8線臨37便道', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
