VDID,AuthorityCode,OriginalVersion,OrginalLinkID,ChangeType,ChangeReason,ChangeAttribute,LinkID,Links
VD-35-0260-003-01,THB,19.05.1,3002600100412T,道路新增,錯誤修正,,['3002600000412T'],"[{'LinkID': '3002600000412T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-34-0260-022-01,THB,19.05.1,3002600002473T,道路新增,錯誤修正,,['3002600102473T'],"[{'LinkID': '3002600102473T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-42-0090-102-01,THB,19.05.1,3000900110183G,道路異動,分段位置改變,"EndNode,Length,Bearing",['3000900110183G'],"[{'LinkID': '3000900110183G', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-35-0260-000-01,THB,19.05.1,3002600000312T,道路新增,錯誤修正,,['3002600100312T'],"[{'LinkID': '3002600100312T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-42-0090-100-01,THB,19.05.1,3000900110060G,道路新增,道路分段,,"['3000900110060G', '3000900110161G']","[{'LinkID': '3000900110060G', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}, {'LinkID': '3000900110161G', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-41-0090-087-01,THB,19.05.1,3000900008691G,道路新增,道路合併,,['3000900008691G'],"[{'LinkID': '3000900008691G', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-35-0260-031-01,THB,19.05.1,3002600103167T,道路新增,錯誤修正,,['3002600003167T'],"[{'LinkID': '3002600003167T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-35-0260-033-01,THB,19.05.1,3002600103754T,道路新增,錯誤修正,,['3002600003754T'],"[{'LinkID': '3002600003754T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-35-0260-021-01,THB,19.05.1,3002600102330T,道路新增,錯誤修正,,['3002600002330T'],"[{'LinkID': '3002600002330T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-33-0090-414-01,THB,19.05.1,3000900141338V,道路新增,道路分段/修改路名,,['3000900141338V'],"[{'LinkID': '3000900141338V', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-12-0090-037-01,THB,19.05.1,3000900103681F,道路新增,道路分段,,"['3000900103681F', '3000900103782F']","[{'LinkID': '3000900103681F', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}, {'LinkID': '3000900103782F', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
