日期,新北市 / 能源別總計,新北市 / 汽油,新北市 / 電能,新北市 / 汽油、電能,臺北市 / 能源別總計,臺北市 / 汽油,臺北市 / 電能,臺北市 / 汽油、電能,桃園市 / 能源別總計,桃園市 / 汽油,桃園市 / 電能,桃園市 / 汽油、電能,臺中市 / 能源別總計,臺中市 / 汽油,臺中市 / 電能,臺中市 / 汽油、電能,高雄市 / 能源別總計,高雄市 / 汽油,高雄市 / 電能,高雄市 / 汽油、電能,基隆市 / 能源別總計,基隆市 / 汽油,基隆市 / 電能,基隆市 / 汽油、電能
106年 4月,"2,182,059","2,167,537","14,522",-,"951,630","943,187","8,443",-,"1,130,458","1,117,957","12,499",-,"1,671,329","1,663,986","7,343",-,"1,994,079","1,985,931","8,148",-,"182,086","181,733",353,-
106年 5月,"2,183,883","2,169,171","14,712",-,"952,309","943,722","8,587",-,"1,133,041","1,120,411","12,630",-,"1,674,052","1,666,539","7,513",-,"1,995,654","1,987,345","8,309",-,"182,335","181,968",367,-
106年 6月,"2,183,460","2,168,624","14,836",-,"952,264","943,583","8,681",-,"1,135,536","1,122,583","12,953",-,"1,676,283","1,668,603","7,680",-,"1,996,652","1,988,144","8,508",-,"182,254","181,877",377,-
106年 7月,"2,183,644","2,167,734","15,910",-,"947,969","938,928","9,041",-,"1,138,261","1,124,133","14,128",-,"1,677,885","1,669,699","8,186",-,"1,996,637","1,987,614","9,023",-,"182,288","181,900",388,-
106年 8月,"2,185,697","2,169,442","16,255",-,"949,147","939,529","9,618",-,"1,142,229","1,126,399","15,830",-,"1,681,640","1,672,818","8,822",-,"1,999,497","1,989,629","9,868",-,"182,536","182,121",415,-
106年 9月,"2,189,418","2,172,709","16,709",-,"951,270","940,945","10,325",-,"1,146,973","1,129,468","17,505",-,"1,685,525","1,675,901","9,624",-,"2,001,323","1,990,693","10,630",-,"183,033","182,588",445,-
106年 10月,"2,190,612","2,173,526","17,086",-,"952,155","941,142","11,013",-,"1,150,703","1,131,523","19,180",-,"1,687,343","1,676,984","10,359",-,"2,001,877","1,990,415","11,462",-,"183,237","182,771",466,-
106年 11月,"2,190,889","2,173,120","17,769",-,"952,759","940,992","11,767",-,"1,154,070","1,132,650","21,420",-,"1,689,025","1,677,471","11,554",-,"2,001,682","1,989,175","12,507",-,"183,174","182,675",499,-
106年 12月,"2,188,019","2,169,592","18,427",-,"953,645","939,912","13,733",-,"1,153,997","1,131,692","22,305",-,"1,687,364","1,675,125","12,239",-,"1,999,902","1,986,423","13,479",-,"182,847","182,340",507,-
107年,"2,187,606","2,159,422","28,184",-,"944,171","924,482","19,689",-,"1,189,124","1,150,404","38,720",-,"1,706,686","1,683,626","23,060",-,"2,008,475","1,981,365","27,110",-,"182,728","181,812",916,-
107年 1月,"2,187,595","2,168,861","18,734",-,"953,650","939,671","13,979",-,"1,156,323","1,133,077","23,246",-,"1,689,207","1,676,356","12,851",-,"2,002,221","1,988,081","14,140",-,"182,759","182,236",523,-
107年 2月,"2,186,973","2,167,322","19,651",-,"953,563","939,259","14,304",-,"1,158,014","1,134,071","23,943",-,"1,690,565","1,677,273","13,292",-,"2,003,524","1,988,742","14,782",-,"182,776","182,247",529,-
107年 3月,"2,184,882","2,164,251","20,631",-,"953,574","938,950","14,624",-,"1,161,018","1,136,036","24,982",-,"1,692,096","1,678,089","14,007",-,"2,004,250","1,988,594","15,656",-,"182,711","182,162",549,-
107年 4月,"2,184,828","2,163,342","21,486",-,"953,504","938,617","14,887",-,"1,163,220","1,137,311","25,909",-,"1,693,357","1,678,767","14,590",-,"2,004,368","1,988,024","16,344",-,"182,778","182,204",574,-
107年 5月,"2,185,237","2,162,729","22,508",-,"953,443","938,222","15,221",-,"1,166,338","1,139,277","27,061",-,"1,695,367","1,680,082","15,285",-,"2,004,066","1,986,818","17,248",-,"182,747","182,149",598,-
107年 6月,"2,185,760","2,162,266","23,494",-,"953,605","937,993","15,612",-,"1,169,794","1,141,319","28,475",-,"1,697,220","1,681,195","16,025",-,"2,005,271","1,987,142","18,129",-,"182,861","182,223",638,-
107年 7月,"2,184,794","2,160,505","24,289",-,"952,855","936,517","16,338",-,"1,173,052","1,143,122","29,930",-,"1,696,343","1,679,410","16,933",-,"2,005,027","1,985,799","19,228",-,"182,886","182,202",684,-
107年 8月,"2,186,173","2,161,079","25,094",-,"945,405","928,112","17,293",-,"1,175,817","1,144,785","31,032",-,"1,698,314","1,680,574","17,740",-,"2,006,169","1,985,919","20,250",-,"182,494","181,766",728,-
107年 9月,"2,189,367","2,163,231","26,136",-,"945,741","927,917","17,824",-,"1,180,368","1,147,805","32,563",-,"1,701,119","1,682,216","18,903",-,"2,007,972","1,986,508","21,464",-,"182,674","181,908",766,-
107年 10月,"2,188,233","2,161,328","26,905",-,"945,686","927,091","18,595",-,"1,183,501","1,149,033","34,468",-,"1,702,096","1,681,873","20,223",-,"2,007,554","1,984,520","23,034",-,"182,685","181,865",820,-
107年 11月,"2,188,112","2,160,508","27,604",-,"944,984","925,808","19,176",-,"1,186,141","1,149,525","36,616",-,"1,703,995","1,682,405","21,590",-,"2,008,052","1,983,238","24,814",-,"182,770","181,883",887,-
107年 12月,"2,187,606","2,159,422","28,184",-,"944,171","924,482","19,689",-,"1,189,124","1,150,404","38,720",-,"1,706,686","1,683,626","23,060",-,"2,008,475","1,981,365","27,110",-,"182,728","181,812",916,-
108年,"2,198,097","2,150,088","48,006",2,"952,055","912,127","39,927",-,"1,236,264","1,166,431","69,833",-,"1,730,244","1,686,594","43,649",1,"2,028,702","1,982,089","46,610",3,"183,288","181,621","1,667",-
108年 1月,"2,187,464","2,158,969","28,495",-,"944,142","923,888","20,254",-,"1,191,851","1,151,028","40,823",-,"1,708,610","1,684,172","24,438",-,"2,009,542","1,982,049","27,493",-,"182,725","181,777",948,-
