日期,未滿1年,1年-未滿2年,2年-未滿3年,3年-未滿4年,4年-未滿5年,5年-未滿6年,6年-未滿7年,7年-未滿8年,8年-未滿9年,9年-未滿10年,10年-未滿11年,11年-未滿12年,12年-未滿13年,13年-未滿14年,14年-未滿15年,15年-未滿16年,16年-未滿17年,17年-未滿18年
110年 2月底,"333,499","372,137","362,512","390,700","401,860","377,307","398,987","329,332","318,959","333,646","302,527","255,428","168,921","267,318","251,534","368,205","334,133","269,720"
110年 3月底,"339,248","373,990","356,278","390,843","405,049","372,221","401,674","338,190","312,761","333,787","305,419","270,389","163,378","263,414","244,329","359,767","340,995","273,524"
110年 4月底,"347,777","365,031","356,610","389,993","400,601","378,418","397,968","348,666","312,043","336,992","301,651","279,059","160,183","258,707","243,328","350,169","342,981","278,539"
110年 5月底,"350,825","358,365","354,189","391,481","394,278","382,645","396,973","357,438","309,251","344,489","299,323","284,581","161,341","249,625","244,590","339,468","341,843","285,837"
110年 6月底,"336,966","359,041","352,070","395,795","389,376","382,526","402,063","360,580","309,361","345,285","303,330","286,302","167,282","242,984","240,725","331,761","344,836","290,687"
110年 7月底,"329,825","362,642","351,203","397,443","387,424","380,890","400,432","368,203","311,513","340,623","313,069","286,201","176,482","232,101","245,153","317,195","347,515","295,267"
110年 8月底,"334,650","363,304","349,075","394,972","389,811","384,338","399,627","368,589","312,202","337,928","320,707","286,259","183,224","222,942","247,846","306,949","349,080","298,702"
110年 9月底,"337,833","363,894","352,643","391,884","392,406","385,501","395,518","368,778","319,936","332,254","327,894","289,496","190,789","213,405","252,129","292,608","354,497","298,392"
110年 10月底,"330,652","365,653","353,093","391,449","390,702","388,420","394,372","375,821","318,701","329,346","332,832","290,297","199,767","205,605","255,589","281,267","357,387","297,474"
110年 11月底,"329,223","366,555","359,706","384,097","394,843","390,852","393,261","376,057","325,398","324,066","334,392","291,430","215,816","193,735","260,999","268,267","356,100","298,601"
110年 12月底,"330,861","370,040","366,535","378,695","398,663","397,405","383,947","382,674","328,864","319,317","335,456","281,610","235,923","184,766","265,766","262,474","354,019","297,838"
111年底,"322,744","362,977","370,743","366,207","380,203","399,153","396,666","383,316","381,578","327,736","317,567","331,937","277,853","232,532","180,844","256,838","249,676","330,690"
111年 1月底,"322,240","375,118","371,396","364,675","400,030","395,578","381,114","394,599","323,631","325,511","326,944","298,340","244,206","170,343","262,982","247,227","348,817","313,808"
111年 2月底,"314,414","375,296","374,721","363,655","394,624","403,496","376,693","398,519","328,758","318,096","331,833","299,646","252,692","166,395","261,241","242,273","348,446","311,314"
111年 3月底,"307,461","384,718","376,474","357,407","394,479","406,727","371,641","401,199","337,528","311,897","332,006","302,334","267,471","160,824","257,289","235,232","340,244","317,162"
111年 4月底,"300,264","398,800","367,122","357,503","393,423","402,331","377,994","397,512","347,853","311,139","335,136","298,518","275,917","157,597","252,684","234,118","330,987","318,584"
111年 5月底,"295,166","404,417","360,209","355,010","394,563","395,954","382,302","396,511","356,665","308,392","342,658","296,315","281,281","158,896","243,973","235,798","321,424","318,390"
111年 6月底,"287,444","403,080","360,878","352,857","398,943","391,073","382,170","401,530","359,827","308,493","343,637","300,266","282,910","164,819","237,544","232,361","314,361","321,267"
111年 7月底,"290,865","392,370","364,686","351,808","400,512","389,067","380,536","399,828","367,401","310,547","338,920","309,951","282,676","173,930","226,840","236,817","300,647","323,626"
111年 8月底,"301,866","387,841","364,984","349,536","397,820","391,346","383,961","399,215","367,767","311,280","336,230","317,611","282,748","180,502","217,919","239,542","291,197","325,472"
111年 9月底,"307,291","381,147","365,283","352,911","394,258","393,701","384,978","394,993","367,884","318,901","330,524","324,748","285,786","187,987","208,658","243,760","277,843","330,640"
111年 10月底,"308,710","373,980","366,775","353,312","393,424","391,739","387,773","393,794","374,848","317,628","327,665","329,564","286,461","196,903","201,028","247,233","267,511","333,633"
111年 11月底,"311,288","369,983","367,397","359,637","385,776","395,663","390,293","392,655","375,021","324,272","322,396","331,082","287,605","212,753","189,429","252,565","255,301","332,642"
111年 12月底,"322,744","362,977","370,743","366,207","380,203","399,153","396,666","383,316","381,578","327,736","317,567","331,937","277,853","232,532","180,844","256,838","249,676","330,690"
112年底 (5月),"343,557","328,779","404,752","359,516","355,864","394,541","395,043","381,522","395,242","355,069","306,658","338,896","291,751","276,604","155,525","236,097","225,322","300,784"
112年 1月底,"316,190","355,876","375,709","370,891","366,073","400,509","394,600","380,403","393,412","322,374","323,768","323,498","294,329","240,600","166,748","254,678","235,706","326,765"
112年 2月底,"320,909","350,990","375,762","374,174","364,864","395,000","402,492","375,899","397,239","327,401","316,247","328,334","295,357","248,743","162,849","252,749","230,821","325,964"
112年 3月底,"324,845","344,692","384,954","376,008","358,409","394,700","405,695","370,859","399,858","336,054","310,146","328,386","297,985","263,178","157,355","249,118","224,122","318,312"
112年 4月底,"330,250","335,827","399,005","366,550","358,454","393,501","401,343","377,218","396,206","346,363","309,421","331,557","294,110","271,525","154,273","244,756","223,447","310,040"
112年 5月底,"343,557","328,779","404,752","359,516","355,864","394,541","395,043","381,522","395,242","355,069","306,658","338,896","291,751","276,604","155,525","236,097","225,322","300,784"
