日期,淡水,鞍部,臺北,竹子湖,基隆,彭佳嶼,花蓮,蘇澳,宜蘭,東吉島,澎湖,臺南,高雄,嘉義,臺中,阿里山,大武,玉山,新竹,恆春,成功,蘭嶼,日月潭,臺東,梧棲,金門,馬祖
99年 12月,100.1,261.5,63.4,224.2,198.6,91.0,20.2,341.0,92.2,10.5,13.1,14.5,11.5,32.7,27.4,64.9,13.3,52.1,61.1,1.2,22.4,68.7,35.5,12.6,24.0,34.1,41.1
100年,"1,713.8","4,879.0","1,758.6","4,111.2","3,727.0","1,553.5","2,199.5","4,443.8","2,781.9",933.0,609.4,"1,218.8","1,796.7","1,021.7","1,204.9","3,655.6","2,687.2","2,548.3","1,222.6","2,597.0","2,720.6","3,605.7","1,725.3","2,510.6",605.0,780.3,792.8
100年 1月,108.6,538.5,71.9,412.7,431.7,104.0,18.1,489.7,136.3,14.0,8.7,6.7,7.7,25.7,35.4,133.8,23.8,25.0,74.6,12.4,46.2,396.7,58.0,14.9,24.2,3.1,16.9
100年 2月,104.1,185.5,68.0,122.2,267.2,57.7,57.8,206.5,50.7,19.5,10.8,7.7,3.5,19.9,27.6,62.1,26.3,40.7,63.1,18.5,25.2,124.3,22.2,16.6,33.3,19.1,55.4
100年 3月,118.2,213.5,119.1,193.6,243.1,99.3,95.7,281.0,183.0,21.1,19.5,4.7,8.0,49.7,33.2,93.8,23.6,75.6,90.0,5.0,35.4,104.7,46.3,11.1,33.2,16.0,16.9
100年 4月,51.6,88.0,27.4,63.5,70.3,24.8,64.2,43.8,12.1,35.5,9.2,26.0,29.5,4.6,5.1,28.7,76.3,38.0,19.7,40.3,69.2,106.1,23.5,61.6,2.3,21.7,39.6
100年 5月,309.5,491.0,222.0,331.3,406.3,238.2,180.4,391.2,324.5,78.6,53.2,55.2,106.0,150.0,95.0,468.3,164.6,405.7,220.4,127.4,244.5,360.1,351.3,236.8,75.1,90.6,230.5
100年 6月,175.2,469.0,284.6,461.5,148.7,294.7,83.8,74.3,149.2,92.2,61.1,304.0,392.0,148.5,151.3,333.6,568.9,296.2,174.4,339.4,307.8,251.1,217.0,469.7,42.2,114.7,58.1
100年 7月,120.5,140.5,264.2,99.5,120.2,47.0,45.5,59.4,32.9,253.1,115.6,401.5,543.0,175.1,300.6,956.1,391.4,363.3,169.8,443.2,131.3,248.1,412.5,198.3,110.9,122.4,33.8
100年 8月,93.0,172.0,166.6,156.6,94.4,68.1,375.0,246.5,211.7,194.1,142.2,172.3,367.5,112.8,256.3,648.0,525.0,485.6,62.7,"1,154.7",359.8,384.8,241.0,377.0,75.0,185.4,71.6
100年 9月,25.1,180.0,51.6,161.6,52.7,11.8,148.0,141.8,44.6,2.2,0.7,5.0,71.5,109.5,99.3,164.6,146.9,45.8,9.7,101.9,180.2,230.6,73.5,110.5,6.9,36.9,4.5
100年 10月,158.5,885.5,92.6,878.0,473.2,154.6,487.0,907.2,579.6,17.9,7.5,27.8,55.0,25.8,13.3,248.1,293.4,312.0,48.0,190.2,580.3,435.4,56.0,404.6,14.7,1.5,61.5
100年 11月,237.6,787.0,231.2,585.7,896.1,325.7,517.5,762.1,622.8,196.6,161.7,203.5,172.5,180.6,150.7,392.5,396.1,369.6,221.1,134.1,679.9,585.3,177.0,559.0,158.1,167.9,185.2
100年 12月,211.9,728.5,159.4,645.0,523.1,127.6,126.5,840.3,434.5,8.2,19.2,4.4,40.5,19.5,37.1,126.0,50.9,90.8,69.1,29.9,60.8,378.5,47.0,50.5,29.1,1.0,18.8
101年,"2,999.3","4,911.5","2,910.3","3,904.6","3,908.8","1,960.3","2,303.0","4,742.8","2,916.1",895.0,921.9,"2,425.7","2,196.7","2,201.3","2,202.5","5,166.3","3,031.1","3,583.8","2,741.2","2,942.2","2,474.0","3,254.0","3,090.9","2,118.2","1,660.8",893.2,"1,914.4"
101年 1月,185.1,455.0,157.4,372.0,533.4,166.6,53.0,351.2,175.1,13.8,10.5,5.5,-,23.0,57.1,114.4,11.4,63.1,140.6,-,60.3,184.8,77.5,22.3,62.6,60.6,179.5
101年 2月,197.8,424.0,268.8,330.5,545.7,243.7,98.5,488.9,199.0,35.6,28.4,40.0,30.5,77.9,77.2,158.6,139.0,146.0,228.9,76.8,82.6,303.9,87.5,82.7,95.6,81.5,153.6
101年 3月,84.1,155.0,85.4,96.0,247.6,81.8,95.5,267.1,106.7,17.4,7.3,6.5,8.5,14.7,40.8,35.2,46.0,29.0,96.6,3.0,130.4,60.1,34.5,37.9,22.2,22.1,115.5
101年 4月,262.5,382.0,289.1,318.5,389.8,181.1,95.0,107.4,107.8,62.9,71.7,141.5,112.5,110.5,234.6,452.6,121.7,365.0,346.6,39.7,73.1,77.2,297.9,62.1,230.4,140.7,196.2
101年 5月,384.7,497.0,231.2,382.5,351.6,314.5,398.5,738.2,656.6,143.7,192.7,404.5,283.5,192.5,267.9,679.1,184.0,438.0,251.3,449.0,261.4,501.0,549.5,140.0,132.4,126.1,165.2
101年 6月,428.9,568.0,625.6,513.5,391.0,183.4,352.5,356.4,287.4,288.5,226.0,803.5,832.5,498.5,331.6,"1,863.2","1,199.6","1,007.6",427.2,802.8,434.2,461.1,902.0,550.3,273.1,118.5,261.0
101年 7月,76.4,103.5,162.8,137.5,61.9,53.0,275.5,327.4,164.7,64.5,69.5,254.5,52.5,375.0,215.6,194.9,419.8,221.4,74.6,346.0,375.8,370.6,136.2,318.5,87.8,31.6,41.3
101年 8月,576.5,930.0,518.9,785.5,364.5,240.7,485.5,481.2,551.3,108.7,175.0,635.0,756.5,699.8,726.2,998.0,613.4,696.0,608.5,"1,083.3",512.5,397.8,635.5,542.1,552.5,38.7,302.3
101年 9月,297.3,354.5,85.0,206.6,72.5,52.4,72.0,227.4,69.6,0.5,0.3,18.6,54.5,81.6,34.2,251.3,116.3,108.7,82.3,74.9,150.2,116.8,119.0,129.8,8.5,59.0,187.7
101年 10月,50.5,204.0,64.0,157.5,139.1,27.6,82.5,459.8,137.5,-,-,2.5,0.7,-,1.4,7.4,34.1,18.9,29.3,5.0,63.7,79.9,8.0,34.1,1.0,7.5,10.0
101年 11月,244.5,338.0,232.7,272.0,308.3,187.9,101.5,180.9,137.3,116.6,92.9,95.6,46.5,85.0,144.8,257.9,59.0,247.6,308.4,36.5,119.8,371.2,148.3,108.5,134.7,125.3,222.0
101年 12月,211.0,500.5,189.4,332.5,503.4,227.6,193.0,756.9,323.1,42.8,47.6,18.0,18.5,42.8,71.1,153.7,86.8,242.5,146.9,25.2,210.0,329.6,95.0,89.9,60.0,81.6,80.1
102年,"2,343.5","5,205.5","2,541.4","4,078.0","3,768.2","2,020.4","1,970.9","4,265.1","2,552.8",970.8,947.0,"1,688.5","1,688.2","2,580.5","2,133.0","4,966.1","2,563.3","3,535.1","2,043.5","2,098.1","1,972.0","3,318.3","2,933.8","1,867.8","1,921.4","1,400.8","1,033.4"
102年 1月,112.0,373.5,93.0,282.5,521.9,243.5,58.0,669.8,195.3,16.5,7.2,7.5,-,15.1,11.2,32.1,62.1,19.5,52.9,37.1,62.9,430.6,20.0,80.3,12.0,-,3.0
102年 2月,60.0,214.0,34.4,145.1,337.7,75.5,70.0,389.2,123.8,10.5,22.7,1.5,-,3.5,1.2,3.5,69.1,3.0,6.5,13.5,101.0,282.7,1.0,94.7,4.3,17.6,49.8
102年 3月,73.0,119.0,49.1,85.0,112.6,73.1,56.0,96.0,35.4,26.2,23.5,5.5,23.0,42.4,62.7,75.4,3.8,77.2,94.5,3.5,13.0,33.2,29.5,5.5,49.6,73.7,113.0
